time,open,high,low,close,Volume
1784498400,7455.8,7456.8,7453.7,7456.8,120
1784498460,7456.7,7459.3,7455.2,7458.5,182
1784498520,7458.8,7459.5,7451.1,7453.8,176
1784498580,7454,7457.5,7450.2,7451,172
1784498640,7451.2,7452.5,7448.8,7450.5,152
1784498700,7450.2,7450.8,7445.3,7445.8,158
1784498760,7446.1,7447.8,7443.9,7444.3,154
1784498820,7444.7,7446.7,7444.3,7446.1,144
1784498880,7446.3,7447.7,7443.3,7445.9,170
1784498940,7446.2,7448.7,7446.1,7448.7,140
1784499000,7448.2,7448.4,7443.6,7443.7,128
1784499060,7443.8,7445.9,7443.4,7445.9,124
1784499120,7445.7,7445.9,7444.9,7445.8,92
1784499180,7445.7,7446.7,7445.1,7445.3,112
1784499240,7445.4,7446.1,7444.8,7444.8,98
1784499300,7444.9,7449.7,7444.9,7449.2,138
1784499360,7449.3,7451.3,7448.8,7449.9,104
1784499420,7449.8,7450.7,7449.4,7450.1,98
1784499480,7450.2,7451.9,7449.9,7451.2,118
1784499540,7451.3,7453.6,7450.8,7453.4,126
1784499600,7453.6,7457.4,7453.1,7457.2,136
1784499660,7457.1,7457.7,7456.4,7456.4,94
1784499720,7456.6,7456.9,7454.9,7455.3,112
1784499780,7455.2,7455.7,7454.7,7454.7,84
1784499840,7454.6,7454.6,7451.9,7451.9,108
1784499900,7452.1,7452.1,7451.1,7451.3,96
1784499960,7451.2,7451.2,7449.4,7449.6,92
1784500020,7449.4,7451.6,7448.7,7448.7,128
1784500080,7448.9,7450.8,7448.9,7449.9,106
1784500140,7449.8,7450.2,7448.2,7448.3,90
1784500200,7448.2,7449.3,7447.3,7448.3,126
1784500260,7448.4,7450.3,7448.4,7449.4,100
1784500320,7449.3,7452.6,7448.4,7452.6,112
1784500380,7452.4,7456.8,7452.4,7456.3,142
1784500440,7456.2,7457.8,7456.2,7457.8,114
1784500500,7457.6,7458.6,7457.1,7457.6,106
1784500560,7457.4,7458.2,7457.3,7457.8,110
1784500620,7457.7,7458.1,7455.2,7455.4,96
1784500680,7455.2,7457.2,7455.2,7456.1,88
1784500740,7456.2,7456.9,7456.2,7456.4,44
1784500800,7456.7,7458.4,7456.4,7458.4,106
1784500860,7458.3,7460.4,7458.2,7460.3,110
1784500920,7460.2,7460.3,7459.2,7459.6,112
1784500980,7459.4,7462.9,7459.2,7462.9,84
1784501040,7463.2,7463.4,7461.6,7461.6,62
1784501100,7461.7,7462.2,7460.7,7461.4,116
1784501160,7461.7,7463.2,7460.4,7460.9,110
1784501220,7460.7,7460.7,7458.4,7458.4,104
1784501280,7458.6,7459.4,7457.9,7458.9,78
1784501340,7459.1,7460.4,7459.1,7459.9,72
1784501400,7460.1,7460.2,7457.8,7458.2,56
1784501460,7458.4,7459.3,7457.6,7458.2,134
1784501520,7457.9,7458.1,7456.4,7456.4,96
1784501580,7456.3,7456.9,7455.8,7456.1,98
1784501640,7456.2,7457.2,7455.9,7456.9,82
1784501700,7457.1,7458.3,7456.6,7457.9,74
1784501760,7457.7,7457.9,7456.9,7457.6,82
1784501820,7457.2,7457.9,7457.1,7457.2,62
1784501880,7457.1,7457.3,7456.7,7457.1,66
1784501940,7456.8,7457.3,7456.1,7456.8,66
1784502000,7457.1,7457.3,7454.2,7455.3,124
1784502060,7455.2,7455.7,7454.3,7454.3,86
1784502120,7454.4,7455.4,7454.2,7455.2,78
1784502180,7455.1,7455.1,7453.2,7453.6,100
1784502240,7453.4,7455.7,7453.4,7455.4,90
1784502300,7455.2,7457.6,7454.8,7457.1,90
1784502360,7456.9,7458.2,7454.6,7454.9,116
1784502420,7455.2,7455.7,7454.7,7455.6,80
1784502480,7456.4,7458.2,7456.4,7457.3,102
1784502540,7457.2,7458.3,7456.9,7458.2,74
1784502600,7458.3,7458.6,7457.3,7457.9,78
1784502660,7458.2,7458.7,7457.2,7458.4,58
1784502720,7458.7,7458.7,7457.6,7457.6,62
1784502780,7457.8,7459.4,7456.8,7456.8,64
1784502840,7456.7,7457.9,7456.2,7456.6,94
1784502900,7456.9,7457.4,7456.4,7456.7,72
1784502960,7456.6,7456.7,7455.2,7455.2,64
1784503020,7455.8,7456.1,7454.6,7455.2,70
1784503080,7455.6,7457.1,7455.4,7456.8,64
1784503140,7456.6,7456.6,7455.6,7456.2,62
1784503200,7456.4,7456.4,7454.9,7455.3,64
1784503260,7455.6,7455.8,7453.8,7453.8,62
1784503320,7453.9,7455.4,7453.9,7455.3,56
1784503380,7455.4,7457.3,7454.9,7456.9,82
1784503440,7457.1,7457.8,7456.9,7457.7,56
1784503500,7457.6,7459.3,7457.6,7458.8,66
1784503560,7458.7,7458.7,7454.3,7454.3,96
1784503620,7454.4,7454.8,7453.1,7453.7,90
1784503680,7453.8,7454.4,7453.3,7453.3,62
1784503740,7453.2,7455.7,7453.1,7454.4,80
1784503800,7454.6,7455.2,7452.2,7453.7,90
1784503860,7453.9,7455.7,7453.3,7455.3,102
1784503920,7455.2,7455.7,7454.7,7455.7,64
1784503980,7455.4,7456.7,7455.1,7456.3,96
1784504040,7456.7,7457.4,7455.2,7457.4,90
1784504100,7457.6,7459.3,7457.3,7458.6,118
1784504160,7458.4,7458.6,7457.6,7457.9,76
1784504220,7457.7,7457.9,7455.3,7457.4,118
1784504280,7457.6,7459.1,7457.4,7458.7,104
1784504340,7458.6,7458.9,7457.9,7457.9,82
1784504400,7458.1,7458.8,7457.2,7458.2,60
1784504460,7458.1,7459.2,7457.6,7457.9,70
1784504520,7457.7,7461.7,7457.6,7461.7,80
1784504580,7461.6,7462.9,7461.4,7461.9,118
1784504640,7462.3,7463.1,7461.9,7462.9,76
1784504700,7463.1,7463.1,7455.8,7458.1,168
1784504760,7457.9,7459.1,7456.2,7456.3,184
1784504820,7456.2,7458.2,7456.2,7456.9,108
1784504880,7456.6,7460.1,7456.6,7458.6,134
1784504940,7458.4,7458.8,7456.9,7456.9,126
1784505000,7456.8,7460.4,7456.8,7460.1,152
1784505060,7460.2,7463.4,7459.7,7462.8,130
1784505120,7462.7,7463.8,7461.7,7461.9,112
1784505180,7461.8,7463.3,7461.6,7463.1,116
1784505240,7463.2,7463.2,7460.6,7461.4,130
1784505300,7461.7,7462.7,7460.4,7462.3,108
1784505360,7462.1,7463.3,7462.1,7463.2,114
1784505420,7463.4,7464.7,7463.4,7464.4,118
1784505480,7464.3,7466.1,7464.3,7465.3,126
1784505540,7465.2,7466.2,7464.3,7465.3,116
1784505600,7465.4,7465.9,7460.6,7461.4,186
